id,timestamp,q1,q2,q3,q4,q5,path_code
1,2026-04-27T10:47:25,B,A,B,A,A,B-A-B-A-A
2,2026-04-27T10:47:25,B,A,B,A,A,B-A-B-A-A
3,2026-04-27T10:47:50,B,B,A,B,A,B-B-A-B-A
4,2026-04-27T10:48:32,B,A,B,A,A,B-A-B-A-A
5,2026-04-27T10:48:45,B,A,A,A,A,B-A-A-A-A
6,2026-04-27T10:48:59,A,B,A,A,A,A-B-A-A-A
7,2026-04-27T10:49:04,A,A,A,A,A,A-A-A-A-A
8,2026-04-27T10:49:12,B,A,B,A,A,B-A-B-A-A
9,2026-04-27T10:49:25,A,A,A,A,A,A-A-A-A-A
10,2026-04-27T10:50:49,A,A,A,A,A,A-A-A-A-A
11,2026-04-27T10:50:54,B,B,B,A,A,B-B-B-A-A
12,2026-04-27T10:51:17,A,B,B,B,A,A-B-B-B-A
13,2026-04-27T10:51:24,A,B,A,A,B,A-B-A-A-B
14,2026-04-27T10:52:16,B,A,A,A,A,B-A-A-A-A
15,2026-04-27T10:53:12,A,B,B,B,A,A-B-B-B-A
16,2026-04-27T10:53:17,A,B,A,A,A,A-B-A-A-A
17,2026-04-27T10:53:47,A,A,A,B,A,A-A-A-B-A
18,2026-04-27T10:53:48,A,A,B,A,A,A-A-B-A-A
19,2026-04-27T10:53:51,A,B,A,A,A,A-B-A-A-A
20,2026-04-27T10:54:10,B,B,B,B,A,B-B-B-B-A
21,2026-04-27T10:54:12,A,A,B,B,A,A-A-B-B-A
22,2026-04-27T10:54:15,B,B,B,B,A,B-B-B-B-A
23,2026-04-27T10:54:19,A,B,B,A,A,A-B-B-A-A
24,2026-04-27T10:54:47,B,B,A,A,A,B-B-A-A-A
25,2026-04-27T10:54:52,B,B,B,B,A,B-B-B-B-A
26,2026-04-27T10:55:00,B,B,A,A,A,B-B-A-A-A
27,2026-04-27T10:55:01,B,B,A,A,A,B-B-A-A-A
28,2026-04-27T10:55:10,A,A,B,B,A,A-A-B-B-A
29,2026-04-27T10:55:13,A,A,A,A,A,A-A-A-A-A
30,2026-04-27T10:55:22,A,A,A,A,A,A-A-A-A-A
31,2026-04-27T10:55:30,A,B,B,B,A,A-B-B-B-A
32,2026-04-27T10:55:38,A,A,A,A,A,A-A-A-A-A
33,2026-04-27T10:55:45,A,B,A,A,A,A-B-A-A-A
34,2026-04-27T10:55:50,B,A,A,A,A,B-A-A-A-A
35,2026-04-27T10:55:55,B,A,A,B,A,B-A-A-B-A
36,2026-04-27T10:55:57,B,A,B,A,A,B-A-B-A-A
37,2026-04-27T10:56:18,B,B,A,A,A,B-B-A-A-A
38,2026-04-27T10:56:27,A,B,A,A,A,A-B-A-A-A
39,2026-04-27T10:56:33,A,A,B,A,A,A-A-B-A-A
40,2026-04-27T10:56:37,B,B,B,A,A,B-B-B-A-A
41,2026-04-27T10:56:49,B,A,B,B,B,B-A-B-B-B
42,2026-04-27T10:56:51,A,B,B,A,A,A-B-B-A-A
43,2026-04-27T10:56:59,A,A,B,A,A,A-A-B-A-A
